marque,modele,marque_et_modele,boite_vitesse,couleur,critair,categorie,cylindree,kilometrage,nb_places,nb_portes,nb_vitesses,puissance_fiscale,puissance_physique,carburant,annee,nb_roues_motrices,prix
peugeot,308,peugeot 308,manuelle,Blanc,niveau 1,berline,1199,64909,5,5,6,6,130,essence,2016,2 roues motrices,16290
citroën,c3 aircross,citroën c3 aircross,manuelle,Blanc,niveau 1,suv-4x4,1199,49741,5,5,6,6,110,essence,2021,2 roues motrices,16490
citroën,c3,citroën c3,manuelle,Bleu,niveau 2,citadine,1499,65250,5,5,6,5,102,diesel,2022,2 roues motrices,12990
citroën,c3,citroën c3,manuelle,Bleu,niveau 2,citadine,1499,58747,5,5,6,5,102,diesel,2022,2 roues motrices,12990
fiat,500x,fiat 500x,manuelle,Brun,niveau 1,suv-4x4,1368,70951,5,5,6,8,140,essence,2016,2 roues motrices,14690
ds,ds 7,ds ds 7,automatique,Rouge,niveau 1,suv-4x4,1598,17737,5,5,8,10,180,essence,2018,2 roues motrices,29490
peugeot,2008,peugeot 2008,manuelle,Gris,niveau 2,suv-4x4,1499,75346,5,5,5,5,102,diesel,2019,2 roues motrices,14933
citroën,c-zero,citroën c-zero,automatique,Blanc,niveau 0,citadine,0,14013,4,5,1,1,64,electrique,2020,2 roues motrices,10990
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,1199,20151,5,5,5,4,83,essence,2021,2 roues motrices,14940
audi,a1,audi a1,automatique,Gris,niveau 1,citadine,999,18152,5,5,7,5,95,essence,2021,2 roues motrices,25092
peugeot,208,peugeot 208,manuelle,Blanc,niveau 1,citadine,1199,17719,5,5,6,5,100,essence,2021,2 roues motrices,19990
peugeot,partner,peugeot partner,manuelle,Gris,niveau 2,utilitaire,1499,26633,2,4,5,5,100,diesel,2020,2 roues motrices,19990
peugeot,2008,peugeot 2008,automatique,Gris,niveau 0,suv-4x4,0,10809,5,5,1,4,136,electrique,2022,2 roues motrices,29490
peugeot,208,peugeot 208,manuelle,Rouge,niveau 1,citadine,1199,9053,5,5,5,4,75,essence,2023,2 roues motrices,17990
peugeot,2008,peugeot 2008,manuelle,Bleu,niveau 1,suv-4x4,1199,43068,5,5,6,5,100,essence,2021,2 roues motrices,21990
peugeot,308,peugeot 308,manuelle,Vert,niveau 1,berline,1199,16994,5,5,6,6,110,essence,2022,2 roues motrices,22990
peugeot,208,peugeot 208,automatique,Rouge,niveau 0,citadine,0,10414,5,5,1,4,136,electrique,2021,2 roues motrices,26990
citroën,c3,citroën c3,manuelle,Gris,niveau 2,citadine,1499,19164,5,5,6,5,102,diesel,2022,2 roues motrices,18990
peugeot,208,peugeot 208,manuelle,Jaune,niveau 2,citadine,1499,58654,5,5,6,5,100,diesel,2022,2 roues motrices,17990
citroën,c5 aircross,citroën c5 aircross,manuelle,Gris,niveau 2,suv-4x4,1499,17506,5,5,6,7,131,diesel,2022,2 roues motrices,31990
citroën,c3 aircross,citroën c3 aircross,manuelle,Gris,niveau 1,suv-4x4,1199,10694,5,5,6,6,110,essence,2022,2 roues motrices,21990
citroën,c5 aircross,citroën c5 aircross,automatique,Noir,niveau 2,suv-4x4,1499,9250,5,5,8,7,131,diesel,2023,2 roues motrices,34990
citroën,jumpy,citroën jumpy,manuelle,Rouge,niveau 2,utilitaire,1499,16816,3,4,6,5,100,diesel,2022,2 roues motrices,26990
citroën,c3,citroën c3,manuelle,Blanc,niveau 2,citadine,1499,24696,5,5,6,5,102,diesel,2021,2 roues motrices,15970
volkswagen,golf,volkswagen golf,manuelle,Blanc,niveau 1,berline,1197,150350,5,5,6,5,105,essence,2013,2 roues motrices,10690
peugeot,208,peugeot 208,manuelle,Blanc,niveau 2,citadine,1499,28843,5,5,6,5,100,diesel,2020,2 roues motrices,15970
citroën,c3,citroën c3,manuelle,Blanc,niveau 2,citadine,1499,46953,5,5,6,5,102,diesel,2021,2 roues motrices,14970
peugeot,3008,peugeot 3008,automatique,Noir,niveau 1,suv-4x4,1199,43248,5,5,8,6,130,essence,2020,2 roues motrices,24970
citroën,c5 aircross,citroën c5 aircross,automatique,Blanc,niveau 2,suv-4x4,1997,52081,5,5,8,9,178,diesel,2019,2 roues motrices,26990
citroën,c4,citroën c4,automatique,Blanc,niveau 0,berline,0,49396,5,5,1,4,136,electrique,2021,2 roues motrices,11991
peugeot,2008,peugeot 2008,manuelle,Blanc,niveau 1,suv-4x4,1199,28115,5,5,6,7,130,essence,2019,2 roues motrices,18089
citroën,jumper,citroën jumper,manuelle,Blanc,niveau 2,utilitaire,2179,55339,3,4,6,7,120,diesel,2020,2 roues motrices,25690
citroën,c4,citroën c4,automatique,Gris,niveau 2,berline,1499,13953,7,5,8,7,130,diesel,2022,2 roues motrices,29990
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,20646,5,5,5,4,75,essence,2020,2 roues motrices,14690
peugeot,2008,peugeot 2008,automatique,Gris,niveau 1,suv-4x4,1199,25511,5,5,8,7,130,essence,2021,2 roues motrices,22690
opel,crossland,opel crossland,manuelle,Gris,niveau 1,suv-4x4,1199,27929,5,5,6,7,130,essence,2020,2 roues motrices,15990
peugeot,2008,peugeot 2008,manuelle,Noir,niveau 1,suv-4x4,1199,110328,5,5,5,5,110,essence,2016,2 roues motrices,12990
fiat,500,fiat 500,automatique,Blanc,niveau 0,citadine,0,17830,4,3,1,3,118,electrique,2021,2 roues motrices,21800
citroën,c3,citroën c3,manuelle,Gris,niveau 1,citadine,1199,2663,5,5,5,4,83,essence,2022,2 roues motrices,17470
citroën,c3,citroën c3,manuelle,Gris,niveau 1,citadine,1199,4619,5,5,5,4,83,essence,2022,2 roues motrices,15970
peugeot,3008,peugeot 3008,manuelle,Noir,niveau 1,suv-4x4,1199,37569,5,5,6,7,130,essence,2020,2 roues motrices,24690
renault,kadjar,renault kadjar,manuelle,Blanc,niveau 1,suv-4x4,1197,56800,5,5,6,7,130,essence,2016,2 roues motrices,14790
peugeot,2008,peugeot 2008,automatique,Noir,niveau 1,suv-4x4,1199,42961,5,5,6,6,110,essence,2019,2 roues motrices,16990
citroën,c3,citroën c3,manuelle,Gris,niveau 1,citadine,1199,28350,5,5,6,5,110,essence,2019,2 roues motrices,13390
peugeot,3008,peugeot 3008,manuelle,Brun,niveau 1,suv-4x4,1199,63500,5,5,6,7,130,essence,2016,2 roues motrices,19690
citroën,c3 aircross,citroën c3 aircross,manuelle,Blanc,niveau 1,suv-4x4,1199,33623,5,5,6,6,110,essence,2021,2 roues motrices,17490
peugeot,3008,peugeot 3008,automatique,Bleu,niveau 1,suv-4x4,1199,31802,5,5,8,7,130,essence,2021,2 roues motrices,29990
fiat,500,fiat 500,automatique,Blanc,niveau 0,citadine,0,17830,4,3,1,3,118,electrique,2021,2 roues motrices,21800
citroën,c5 aircross,citroën c5 aircross,automatique,Noir,niveau 2,suv-4x4,1499,5025,5,5,8,7,131,diesel,2023,2 roues motrices,35990
citroën,c5 aircross,citroën c5 aircross,automatique,Gris,niveau 1,suv-4x4,1199,3639,5,5,8,7,131,essence,2023,2 roues motrices,35990
mini,one,mini one,manuelle,Gris,niveau 1,citadine,1499,49463,5,5,6,7,136,essence,2018,2 roues motrices,22850
citroën,c5 aircross,citroën c5 aircross,automatique,Gris,niveau 2,suv-4x4,1499,826,5,5,8,7,131,diesel,2023,2 roues motrices,35990
citroën,c3 aircross,citroën c3 aircross,manuelle,Noir,niveau 1,suv-4x4,1199,31381,5,5,6,6,110,essence,2021,2 roues motrices,18990
peugeot,2008,peugeot 2008,manuelle,Orange,niveau 1,suv-4x4,1199,35322,5,5,6,5,100,essence,2020,2 roues motrices,20800
citroën,berlingo,citroën berlingo,manuelle,Gris,niveau 1,familiale,1199,74629,5,5,6,6,110,essence,2019,2 roues motrices,21950
mercedes,gla,mercedes gla,automatique,Blanc,niveau 2,suv-4x4,2143,108801,5,5,7,7,136,diesel,2017,2 roues motrices,23990
peugeot,5008,peugeot 5008,manuelle,Gris,niveau 1,suv-4x4,1199,74456,7,5,6,7,130,essence,2018,2 roues motrices,25490
peugeot,2008,peugeot 2008,automatique,Gris,niveau 2,suv-4x4,1499,27572,5,5,8,7,130,diesel,2021,2 roues motrices,24990
peugeot,208,peugeot 208,manuelle,Noir,niveau 1,citadine,1199,52279,5,5,6,5,100,essence,2020,2 roues motrices,16890
peugeot,5008,peugeot 5008,manuelle,Noir,niveau 1,suv-4x4,1199,59134,7,5,6,7,130,essence,2019,2 roues motrices,22980
citroën,c4 cactus,citroën c4 cactus,automatique,Blanc,niveau 2,utilitaire,1499,160543,2,5,6,6,120,diesel,2019,2 roues motrices,9000
peugeot,208,peugeot 208,automatique,Bleu,niveau 1,citadine,1199,37604,5,5,8,5,100,essence,2020,2 roues motrices,19590
citroën,c3,citroën c3,manuelle,Blanc,niveau 2,citadine,1499,53220,5,5,6,5,102,diesel,2021,2 roues motrices,13490
peugeot,partner,peugeot partner,manuelle,Gris,niveau 2,familiale,1560,104000,5,5,5,5,100,diesel,2018,2 roues motrices,15990
suzuki,sx4,suzuki sx4,manuelle,Gris,niveau 1,suv-4x4,1373,52104,5,5,6,7,129,essence,2020,2 roues motrices,18490
ds,ds 5,ds ds 5,manuelle,Bleu,niveau 2,berline,1997,132674,5,5,6,7,150,diesel,2017,2 roues motrices,15490
peugeot,2008,peugeot 2008,manuelle,Blanc,niveau 2,suv-4x4,1560,89753,5,5,6,6,115,diesel,2013,2 roues motrices,11090
opel,corsa,opel corsa,manuelle,Bleu,niveau 1,citadine,1199,20369,5,5,6,5,100,essence,2021,2 roues motrices,16990
peugeot,2008,peugeot 2008,manuelle,Rouge,niveau 1,suv-4x4,1199,98603,5,5,6,7,130,essence,2016,2 roues motrices,13790
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,utilitaire,1199,46108,2,5,5,4,68,essence,2018,2 roues motrices,9490
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,utilitaire,1199,45033,2,5,5,4,68,essence,2018,2 roues motrices,9490
citroën,c5 aircross,citroën c5 aircross,automatique,Blanc,niveau 2,suv-4x4,1499,3639,5,5,8,7,131,diesel,2023,2 roues motrices,35990
citroën,c5 aircross,citroën c5 aircross,automatique,Gris,niveau 1,suv-4x4,1598,7765,5,5,8,10,181,hybride rechargeable,2022,2 roues motrices,35990
citroën,c3 aircross,citroën c3 aircross,manuelle,Gris,niveau 1,suv-4x4,1199,6921,5,5,6,6,110,essence,2022,2 roues motrices,21990
citroën,c3 aircross,citroën c3 aircross,manuelle,Gris,niveau 1,suv-4x4,1199,12096,5,5,6,6,110,essence,2022,2 roues motrices,21490
peugeot,208,peugeot 208,manuelle,Rouge,niveau 1,citadine,1199,10550,5,5,5,4,75,essence,2023,2 roues motrices,18990
peugeot,2008,peugeot 2008,manuelle,Noir,niveau 1,suv-4x4,1199,69308,5,5,5,4,82,essence,2015,2 roues motrices,11990
peugeot,108,peugeot 108,manuelle,Vert,niveau 1,citadine,998,20666,4,5,5,4,72,essence,2020,2 roues motrices,11990
renault,twingo,renault twingo,manuelle,Blanc,niveau 1,citadine,998,27300,4,5,5,4,65,essence,2020,2 roues motrices,10490
peugeot,508,peugeot 508,manuelle,Gris,niveau 2,berline,1560,128738,5,4,6,6,120,diesel,2015,2 roues motrices,12290
nissan,qashqai,nissan qashqai,manuelle,Gris,niveau 1,suv-4x4,1618,98258,5,5,6,9,163,essence,2017,2 roues motrices,15790
ds,ds 7,ds ds 7,automatique,Noir,niveau 1,suv-4x4,1598,68092,5,5,8,11,200,hybride rechargeable,2020,4 roues motrices,36990
peugeot,3008,peugeot 3008,manuelle,Gris,niveau 1,suv-4x4,1199,101729,5,5,6,7,130,essence,2017,2 roues motrices,17990
opel,crossland,opel crossland,manuelle,Gris,niveau 1,suv-4x4,1199,41751,5,5,6,7,130,essence,2020,2 roues motrices,17990
peugeot,2008,peugeot 2008,automatique,Bleu,niveau 2,suv-4x4,1499,10523,5,5,8,7,130,diesel,2022,2 roues motrices,28290
mercedes,classe b,mercedes classe b,automatique,Noir,niveau 2,monospace,2143,77685,5,5,7,7,136,diesel,2018,2 roues motrices,18790
peugeot,208,peugeot 208,manuelle,Rouge,niveau 2,citadine,1499,62384,5,5,6,5,100,diesel,2022,2 roues motrices,17290
citroën,c4,citroën c4,automatique,Gris,niveau 2,berline,1499,14626,5,5,8,7,131,diesel,2021,2 roues motrices,27770
peugeot,208,peugeot 208,automatique,Gris,niveau 1,citadine,1199,6656,5,5,8,7,130,essence,2022,2 roues motrices,23970
peugeot,208,peugeot 208,automatique,Jaune,niveau 1,citadine,1199,24409,5,5,8,5,100,essence,2020,2 roues motrices,20348
peugeot,3008,peugeot 3008,automatique,Gris,niveau 2,suv-4x4,1499,1,5,5,8,7,130,diesel,2023,2 roues motrices,32490
peugeot,2008,peugeot 2008,manuelle,Gris,niveau 1,suv-4x4,1199,76703,5,5,6,5,110,essence,2019,2 roues motrices,15490
volkswagen,touran,volkswagen touran,manuelle,Gris,niveau 1,monospace,1390,58444,5,5,6,8,140,essence,2014,2 roues motrices,14790
peugeot,108,peugeot 108,manuelle,Blanc,niveau 1,citadine,998,19394,4,3,5,4,72,essence,2019,2 roues motrices,11470
peugeot,2008,peugeot 2008,manuelle,Blanc,niveau 1,suv-4x4,1199,23160,5,5,6,5,100,essence,2022,2 roues motrices,21990
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,14259,5,5,5,4,75,essence,2022,2 roues motrices,16490
opel,crossland,opel crossland,manuelle,Gris,niveau 1,suv-4x4,1199,15072,5,5,6,6,110,essence,2021,2 roues motrices,16490
opel,corsa,opel corsa,manuelle,Gris,niveau 1,citadine,1199,16216,5,5,6,5,100,essence,2022,2 roues motrices,15990
ds,ds 3,ds ds 3,automatique,Gris,niveau 1,citadine,1199,26085,5,5,8,7,130,essence,2021,2 roues motrices,27890
ds,ds 7,ds ds 7,automatique,Bleu,niveau 1,suv-4x4,1598,23960,5,5,8,11,200,hybride rechargeable,2020,4 roues motrices,47890
peugeot,208,peugeot 208,manuelle,Gris,niveau 2,citadine,1499,20000,5,5,6,5,100,diesel,2022,2 roues motrices,19990
ds,ds 7,ds ds 7,automatique,Jaune,niveau 2,suv-4x4,1499,40965,5,5,8,7,130,diesel,2021,2 roues motrices,32890
peugeot,208,peugeot 208,manuelle,Rouge,niveau 1,citadine,1199,22096,5,5,5,4,75,essence,2022,2 roues motrices,16990
renault,megane,renault megane,automatique,Rouge,niveau 1,berline,1197,61587,5,5,7,7,130,essence,2017,2 roues motrices,16790
opel,grandland,opel grandland,automatique,Gris,niveau 1,suv-4x4,1199,24194,5,5,8,6,130,essence,2019,2 roues motrices,22990
fiat,500,fiat 500,automatique,Blanc,niveau 0,citadine,0,17830,4,3,1,3,118,electrique,2021,2 roues motrices,21800
fiat,500,fiat 500,automatique,Blanc,niveau 0,citadine,0,17830,4,3,1,3,118,electrique,2021,2 roues motrices,21800
citroën,c3 aircross,citroën c3 aircross,automatique,Rouge,niveau 1,suv-4x4,131,34712,5,5,6,7,131,essence,2021,,18990
citroën,jumpy,citroën jumpy,manuelle,Blanc,niveau 2,utilitaire,102,74707,3,4,6,5,102,diesel,2019,,20500
peugeot,boxer,peugeot boxer,manuelle,Gris,niveau 2,utilitaire,130,117052,3,4,6,7,130,diesel,2018,,19990
ds,ds 4,ds ds 4,automatique,Noir,niveau 2,berline,1499,18709,5,5,8,7,131,diesel,2023,2 roues motrices,35900
peugeot,expert,peugeot expert,manuelle,Blanc,niveau 2,utilitaire,,10,3,4,6,7,145,diesel,2023,,31080
citroën,c3,citroën c3,manuelle,Blanc,niveau 1,citadine,,20662,,5,0,4,,essence,2022,,15989
citroën,c3,citroën c3,automatique,Blanc,niveau 1,citadine,1199,19614,5,5,6,6,110,essence,2020,2 roues motrices,17489
volkswagen,touran,volkswagen touran,automatique,Gris,niveau 2,monospace,1968,25845,7,5,7,8,150,diesel,2021,2 roues motrices,34980
peugeot,508,peugeot 508,automatique,Blanc,niveau 2,berline,1997,107180,5,5,8,9,180,diesel,2020,2 roues motrices,25390
citroën,c5 aircross,citroën c5 aircross,manuelle,Bleu,niveau 1,suv-4x4,1199,83646,5,5,6,7,131,essence,2020,2 roues motrices,20990
peugeot,308,peugeot 308,manuelle,Blanc,niveau 1,berline,1199,3717,5,5,6,6,110,essence,2022,2 roues motrices,21689
citroën,c5 aircross,citroën c5 aircross,automatique,Noir,niveau 2,suv-4x4,1499,23000,5,5,8,7,131,diesel,2021,2 roues motrices,29799
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,36585,5,5,5,4,68,essence,2019,2 roues motrices,10980
renault,captur,renault captur,automatique,Rouge,niveau 1,suv-4x4,1333,19351,5,5,7,7,140,essence,2021,2 roues motrices,21990
peugeot,108,peugeot 108,manuelle,Gris,niveau 1,citadine,998,88393,4,5,5,3,72,essence,2019,2 roues motrices,10480
peugeot,2008,peugeot 2008,automatique,Gris,niveau 1,suv-4x4,1199,40943,5,5,8,7,131,essence,2020,2 roues motrices,22990
citroën,c3,citroën c3,automatique,Blanc,niveau 1,citadine,1199,86054,5,5,6,5,110,essence,2019,2 roues motrices,15290
